,CO,NH3N,flow
2024-01-01,2.2472629985549277,1.465289923843437,1.7268060174932907
2024-01-02,2.227596445618524,1.430872557133792,1.7532149311672542
2024-01-03,2.1874120667368966,1.4399028062129224,1.7896359511606534
2024-01-04,2.122534287719141,1.3660817332544535,1.6640751697184932
2024-01-05,2.263809651712619,1.4383272418210211,1.8566348775996722
2024-01-06,2.2319502173015477,1.4188548832665413,1.7340044537280705
2024-01-07,2.205283079733602,1.4026171835528867,1.7438863328744205
2024-01-08,2.1128002156633965,1.3105556872017217,1.694070254174925
2024-01-09,2.1038101494620913,1.4286424963894797,1.6159429357522797
2024-01-10,2.109081330428907,1.2955824450349351,1.5843412443235407
2024-01-11,2.2004770318110274,1.277936800396485,1.7381779392141101
2024-01-12,2.270116840538692,1.3960478748527212,1.752131817736661
2024-01-13,2.1062583901517367,1.3213138844279277,1.6433123055997663
2024-01-14,2.175130440623078,1.3490655738958552,1.693520573647319
